# Failed XSS Payloads - 2025-07-22 19:26:22.503961
# Payload | Expected Behavior | Actual Behavior | Context | Test Context
><img src=x onerror=alert(xqQiS)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
# Failed XSS Payloads - 2025-07-22 19:27:07.453770
# Payload | Expected Behavior | Actual Behavior | Context | Test Context
><img src=x onerror=alert(xqQiS)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
# Failed XSS Payloads - 2025-07-22 19:27:46.308910
# Payload | Expected Behavior | Actual Behavior | Context | Test Context
><img src=x onerror=alert(xqQiS)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
# Failed XSS Payloads - 2025-07-22 19:28:37.776524
# Payload | Expected Behavior | Actual Behavior | Context | Test Context
><img src=x onerror=alert(xqQiS)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<select onchange=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
# Failed XSS Payloads - 2025-07-22 19:29:24.720509
# Payload | Expected Behavior | Actual Behavior | Context | Test Context
><img src=x onerror=alert(xqQiS)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<select onchange=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
# Failed XSS Payloads - 2025-07-22 19:30:09.525769
# Payload | Expected Behavior | Actual Behavior | Context | Test Context
><img src=x onerror=alert(xqQiS)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<select onchange=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onstart=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
# Failed XSS Payloads - 2025-07-22 19:30:47.570634
# Payload | Expected Behavior | Actual Behavior | Context | Test Context
><img src=x onerror=alert(xqQiS)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<select onchange=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onstart=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
# Failed XSS Payloads - 2025-07-22 19:31:39.582047
# Payload | Expected Behavior | Actual Behavior | Context | Test Context
><img src=x onerror=alert(xqQiS)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<select onchange=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onstart=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<input onfocus=alert(uMUsm) autofocus></alert(uMUsm) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
# Failed XSS Payloads - 2025-07-22 19:34:07.076373
# Payload | Expected Behavior | Actual Behavior | Context | Test Context
><img src=x onerror=alert(xqQiS)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<select onchange=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onstart=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<input onfocus=alert(uMUsm) autofocus></alert(uMUsm) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
# Failed XSS Payloads - 2025-07-22 19:35:03.384271
# Payload | Expected Behavior | Actual Behavior | Context | Test Context
><img src=x onerror=alert(xqQiS)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<select onchange=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onstart=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<input onfocus=alert(uMUsm) autofocus></alert(uMUsm) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<textarea onfocus=alert(rsWaZ) autofocus><![CDATA[alert(rsWaZ)</alert(rsWaZ) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
# Failed XSS Payloads - 2025-07-22 19:35:58.236378
# Payload | Expected Behavior | Actual Behavior | Context | Test Context
><img src=x onerror=alert(xqQiS)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<select onchange=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<marquee onstart=alert(1)> | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<input onfocus=alert(uMUsm) autofocus></alert(uMUsm) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<textarea onfocus=alert(rsWaZ) autofocus><![CDATA[alert(rsWaZ)</alert(rsWaZ) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
<textarea onfocus=alert(PdsTf) autofocus>>alert(PdsTf)>alert(TZZhU) | Alert expected | No alert or DOM change | No XSS detected in search_bar | search_bar
# Failed XSS Payloads - 2025-07-22 19:36:54.844359
# Payload | Expected Behavior | Actual Behavior | Context | Test Context
